fit,user_id,item_id,weight_lbs,rating,rented_for,body_type,category,size,age,review_date,bust_size_num,bust_size_letter,height_in,review_month,review_day_of_month,review_year,recommend
fit,420272,2260466,137.0,10.0,vacation,hourglass,romper,14,28.0,2016-04-20,34.0,4,68.0,4,20,2016,1
fit,360448,1063761,,10.0,party,,sheath,4,116.0,2015-12-14,,,64.0,12,14,2015,1
fit,909926,126335,135.0,8.0,formal affair,pear,dress,8,34.0,2014-02-12,34.0,3,65.0,2,12,2014,0
fit,336066,568429,112.0,10.0,everyday,hourglass,dress,4,27.0,2017-12-07,34.0,3,63.0,12,7,2017,1
fit,87660,1295171,120.0,10.0,party,straight & narrow,sheath,8,26.0,2016-07-28,36.0,1,66.0,7,28,2016,1
fit,721308,123793,118.0,10.0,formal affair,athletic,gown,2,32.0,2014-05-29,34.0,2,65.0,5,29,2014,1
fit,499943,909221,170.0,10.0,vacation,pear,dress,20,35.0,2017-03-28,34.0,3,68.0,3,28,2017,1
small,16800,1229740,135.0,10.0,formal affair,petite,gown,21,33.0,2017-11-16,34.0,3,66.0,11,16,2017,1
fit,983550,197391,140.0,8.0,other,hourglass,dress,12,30.0,2015-02-22,32.0,4,66.0,2,22,2015,0
fit,854094,123373,122.0,10.0,wedding,straight & narrow,gown,4,50.0,2017-11-09,32.0,3,65.0,11,9,2017,1
fit,335467,2155094,,10.0,date,petite,jumpsuit,8,29.0,2016-11-03,,,63.0,11,3,2016,1
fit,729616,1064397,143.0,8.0,wedding,hourglass,gown,16,32.0,2015-10-07,34.0,4,63.0,10,7,2015,0
fit,908171,174086,130.0,8.0,wedding,straight & narrow,dress,1,29.0,2014-05-12,34.0,3,66.0,5,12,2014,0
fit,330024,182915,,10.0,party,hourglass,dress,8,53.0,2011-12-07,32.0,4,66.0,12,7,2011,1
fit,351728,1497935,130.0,10.0,other,athletic,dress,14,31.0,2017-04-10,34.0,4,61.0,4,10,2017,1
fit,804645,1312996,190.0,10.0,formal affair,hourglass,gown,28,48.0,2015-01-19,36.0,4,68.0,1,19,2015,1
fit,268942,1829354,150.0,8.0,everyday,athletic,dress,14,36.0,2017-10-22,36.0,4,64.0,10,22,2017,0
fit,390300,1457605,145.0,10.0,work,,dress,12,27.0,2017-10-23,34.0,4,67.0,10,23,2017,1
large,375120,973512,136.0,10.0,party,athletic,dress,4,35.0,2017-10-18,32.0,3,67.0,10,18,2017,1
fit,112436,298830,115.0,10.0,work,straight & narrow,shift,4,30.0,2016-09-08,32.0,2,67.0,9,8,2016,1
fit,880778,1726756,174.0,10.0,party,full bust,dress,20,37.0,2015-11-18,36.0,4,69.0,11,18,2015,1
large,871986,808736,125.0,8.0,work,straight & narrow,dress,8,32.0,2016-08-22,34.0,2,67.0,8,22,2016,0
fit,870233,123793,,10.0,formal affair,hourglass,gown,36,21.0,2017-11-24,40.0,4,62.0,11,24,2017,1
large,24792,2107747,135.0,10.0,date,pear,sweater,14,29.0,2017-09-18,34.0,2,65.0,9,18,2017,1
fit,269712,259136,125.0,8.0,work,full bust,sheath,8,32.0,2016-03-01,34.0,4,62.0,3,1,2016,0
large,623308,2529552,120.0,10.0,other,athletic,jacket,8,44.0,2015-02-25,34.0,1,64.0,2,25,2015,1
large,602505,193179,,10.0,wedding,hourglass,dress,20,27.0,2014-03-03,34.0,2,66.0,3,3,2014,1
small,671344,1764436,140.0,10.0,everyday,pear,sheath,12,30.0,2017-05-05,34.0,3,63.0,5,5,2017,1
fit,297874,734229,128.0,8.0,wedding,apple,dress,12,29.0,2016-07-25,34.0,2,64.0,7,25,2016,0
fit,203660,1126889,160.0,6.0,party,athletic,dress,12,28.0,2017-01-03,34.0,3,64.0,1,3,2017,0
fit,650436,1009845,130.0,8.0,party,hourglass,dress,16,33.0,2017-06-13,34.0,4,62.0,6,13,2017,0
fit,545501,1987884,145.0,10.0,party,pear,dress,16,29.0,2017-12-11,34.0,4,65.0,12,11,2017,1
fit,538528,672419,140.0,10.0,wedding,pear,gown,15,36.0,2017-11-07,36.0,3,62.0,11,7,2017,1
large,333312,224876,145.0,10.0,wedding,hourglass,gown,16,38.0,2017-08-01,36.0,3,64.0,8,1,2017,1
fit,350548,144931,109.0,10.0,party,athletic,sheath,8,40.0,2016-02-26,32.0,4,62.0,2,26,2016,1
fit,172378,146684,124.0,10.0,other,pear,gown,4,22.0,2013-04-21,34.0,1,62.0,4,21,2013,1
fit,627633,550590,,10.0,party,full bust,sheath,16,26.0,2016-03-05,36.0,3,67.0,3,5,2016,1
fit,219194,1146287,118.0,10.0,wedding,athletic,gown,4,33.0,2017-09-25,32.0,3,64.0,9,25,2017,1
small,321146,655967,125.0,10.0,wedding,petite,dress,8,38.0,2016-01-21,34.0,2,62.0,1,21,2016,1
large,526461,883661,128.0,8.0,wedding,athletic,dress,4,36.0,2015-11-15,36.0,3,62.0,11,15,2015,0
fit,981029,181161,195.0,6.0,wedding,pear,sheath,32,30.0,2013-10-08,38.0,1,64.0,10,8,2013,0
small,975877,1671465,135.0,10.0,formal affair,hourglass,dress,12,30.0,2017-02-15,36.0,1,67.0,2,15,2017,1
fit,211039,1226293,128.0,10.0,party,petite,shift,4,33.0,2013-12-17,34.0,3,64.0,12,17,2013,1
large,664723,883661,175.0,10.0,formal affair,pear,dress,16,31.0,2016-05-17,34.0,4,70.0,5,17,2016,1
fit,723815,152836,120.0,8.0,party,athletic,mini,4,34.0,2013-12-13,34.0,3,63.0,12,13,2013,0
fit,324537,1207360,140.0,10.0,party,pear,sheath,12,33.0,2017-03-16,34.0,2,66.0,3,16,2017,1
fit,270203,1557847,,10.0,party,straight & narrow,dress,4,44.0,2017-01-31,32.0,3,64.0,1,31,2017,1
fit,832715,1871026,175.0,4.0,work,hourglass,dress,24,32.0,2016-04-12,36.0,4,67.0,4,12,2016,0
fit,222657,1851598,,10.0,party,,sheath,12,28.0,2017-05-19,34.0,2,69.0,5,19,2017,1
large,649616,1840637,161.0,8.0,work,hourglass,shirtdress,8,29.0,2016-07-12,34.0,3,68.0,7,12,2016,0
fit,617526,1822664,126.0,10.0,party,hourglass,dress,8,37.0,2016-10-20,34.0,3,62.0,10,20,2016,1
fit,986926,1261393,160.0,10.0,vacation,hourglass,dress,20,50.0,2016-01-22,34.0,3,67.0,1,22,2016,1
fit,379856,992623,130.0,10.0,wedding,,dress,8,24.0,2017-12-03,34.0,1,67.0,12,3,2017,1
fit,464298,180843,165.0,10.0,date,pear,dress,16,31.0,2014-02-14,34.0,3,67.0,2,14,2014,1
fit,849315,2576170,170.0,10.0,everyday,full bust,sweater,14,30.0,2017-11-13,36.0,4,66.0,11,13,2017,1
small,281878,1920477,215.0,10.0,wedding,full bust,dress,51,39.0,2014-12-18,,,61.0,12,18,2014,1
large,167010,374312,,10.0,party,petite,dress,1,34.0,2014-05-11,,,63.0,5,11,2014,1
fit,303584,467817,180.0,8.0,party,pear,dress,24,33.0,2015-11-25,36.0,2,73.0,11,25,2015,0
fit,168438,1042783,,8.0,wedding,pear,gown,35,31.0,2016-02-02,36.0,3,68.0,2,2,2016,0
small,500128,131533,145.0,10.0,wedding,hourglass,gown,9,29.0,2016-04-18,36.0,3,68.0,4,18,2016,1
fit,391310,1318793,135.0,8.0,party,hourglass,dress,14,30.0,2016-03-13,34.0,2,67.0,3,13,2016,0
fit,307411,127081,,8.0,wedding,,gown,17,32.0,2014-02-22,32.0,2,68.0,2,22,2014,0
fit,855337,188052,135.0,10.0,wedding,athletic,maxi,8,31.0,2014-08-11,34.0,2,67.0,8,11,2014,1
fit,29786,145906,,10.0,formal affair,hourglass,gown,8,29.0,2013-12-16,,,66.0,12,16,2013,1
fit,486610,188485,145.0,8.0,wedding,pear,dress,12,33.0,2015-10-13,34.0,2,66.0,10,13,2015,0
fit,274558,138431,130.0,10.0,formal affair,hourglass,gown,12,29.0,2014-11-17,34.0,3,64.0,11,17,2014,1
fit,125767,139086,,10.0,wedding,athletic,gown,8,41.0,2012-03-13,32.0,1,61.0,3,13,2012,1
large,547377,199457,106.0,8.0,date,petite,dress,4,36.0,2013-05-04,32.0,4,64.0,5,4,2013,0
large,262402,2806944,,6.0,work,pear,top,4,32.0,2016-03-13,34.0,1,62.0,3,13,2016,0
large,863479,1973037,125.0,8.0,formal affair,athletic,dress,8,42.0,2017-09-20,34.0,3,68.0,9,20,2017,0
fit,885043,2650125,140.0,10.0,date,hourglass,romper,14,27.0,2017-02-21,34.0,4,64.0,2,21,2017,1
small,15218,360595,140.0,10.0,formal affair,athletic,gown,16,25.0,2015-09-29,34.0,3,67.0,9,29,2015,1
fit,748703,127865,145.0,10.0,formal affair,athletic,gown,12,47.0,2015-03-02,36.0,4,67.0,3,2,2015,1
fit,483798,1526552,178.0,4.0,work,pear,dress,24,41.0,2017-10-02,36.0,4,67.0,10,2,2017,0
small,979081,1689615,130.0,2.0,vacation,hourglass,gown,4,28.0,2017-04-22,32.0,4,63.0,4,22,2017,0
fit,411449,1205016,,10.0,formal affair,hourglass,gown,13,34.0,2017-01-25,32.0,4,68.0,1,25,2017,1
fit,728134,987536,180.0,6.0,formal affair,full bust,gown,34,59.0,2016-05-02,,,64.0,5,2,2016,0
fit,809490,1454376,140.0,10.0,wedding,athletic,sheath,8,34.0,2017-05-19,34.0,3,68.0,5,19,2017,1
small,52033,1057664,140.0,10.0,wedding,hourglass,dress,12,29.0,2016-06-12,34.0,4,64.0,6,12,2016,1
fit,318771,452942,125.0,8.0,formal affair,pear,dress,8,28.0,2016-10-04,34.0,2,65.0,10,4,2016,0
fit,884345,2686855,,10.0,work,pear,top,4,33.0,2016-05-05,32.0,3,60.0,5,5,2016,1
fit,557692,2478188,135.0,10.0,party,,romper,4,33.0,2016-06-12,,,65.0,6,12,2016,1
fit,302239,1551720,165.0,10.0,wedding,hourglass,dress,24,31.0,2017-07-17,36.0,4,62.0,7,17,2017,1
fit,979614,1420770,155.0,10.0,wedding,pear,dress,12,26.0,2014-11-03,34.0,2,61.0,11,3,2014,1
fit,649685,1010328,138.0,10.0,formal affair,pear,gown,12,29.0,2017-01-22,32.0,2,64.0,1,22,2017,1
fit,246256,131117,105.0,8.0,wedding,pear,gown,1,28.0,2013-05-20,32.0,1,61.0,5,20,2013,0
small,47807,987052,,10.0,party,athletic,dress,8,40.0,2016-04-04,34.0,2,68.0,4,4,2016,1
fit,249152,1691700,130.0,8.0,wedding,,dress,8,29.0,2017-11-16,34.0,4,62.0,11,16,2017,0
fit,666260,137585,145.0,8.0,wedding,hourglass,sheath,12,33.0,2016-11-16,34.0,4,66.0,11,16,2016,0
fit,883846,131698,138.0,10.0,wedding,hourglass,gown,7,30.0,2014-08-11,34.0,2,62.0,8,11,2014,1
fit,592448,168592,137.0,10.0,formal affair,hourglass,gown,8,24.0,2014-04-18,34.0,3,69.0,4,18,2014,1
fit,753944,2726376,,10.0,vacation,full bust,top,20,37.0,2017-12-26,,,66.0,12,26,2017,1
fit,67602,126335,150.0,10.0,other,hourglass,dress,16,42.0,2015-01-16,,,66.0,1,16,2015,1
fit,942693,344292,145.0,10.0,formal affair,pear,sheath,12,29.0,2016-11-06,34.0,2,68.0,11,6,2016,1
fit,272374,125465,145.0,10.0,wedding,athletic,gown,12,32.0,2014-03-28,34.0,3,68.0,3,28,2014,1
fit,158769,1896772,170.0,8.0,party,apple,dress,24,43.0,2014-10-12,38.0,4,68.0,10,12,2014,0
fit,504032,1194539,117.0,8.0,formal affair,petite,dress,1,28.0,2016-12-28,32.0,2,62.0,12,28,2016,0
small,778882,1636573,145.0,10.0,work,hourglass,dress,20,44.0,2016-05-11,32.0,4,68.0,5,11,2016,1
fit,140422,2329479,118.0,8.0,everyday,straight & narrow,skirt,4,42.0,2016-01-07,,,66.0,1,7,2016,0
small,762200,646552,125.0,8.0,wedding,athletic,sheath,8,33.0,2016-08-09,34.0,4,64.0,8,9,2016,0
small,583735,1415952,140.0,8.0,wedding,hourglass,sheath,16,46.0,2017-11-22,36.0,3,66.0,11,22,2017,0
small,423263,132738,,8.0,formal affair,athletic,gown,25,33.0,2014-03-31,36.0,4,70.0,3,31,2014,0
fit,695818,1520680,146.0,10.0,wedding,athletic,dress,12,41.0,2017-09-05,32.0,3,67.0,9,5,2017,1
small,893699,1889597,220.0,8.0,wedding,apple,sheath,51,32.0,2016-04-10,40.0,5,66.0,4,10,2016,0
small,546301,862446,115.0,10.0,formal affair,straight & narrow,gown,2,31.0,2016-05-20,32.0,2,65.0,5,20,2016,1
fit,106267,1764436,116.0,6.0,work,athletic,sheath,4,42.0,2017-12-18,32.0,1,65.0,12,18,2017,0
fit,933801,147440,118.0,10.0,everyday,petite,dress,4,32.0,2016-01-13,34.0,4,67.0,1,13,2016,1
fit,500850,1072638,130.0,10.0,party,hourglass,dress,12,53.0,2016-09-13,34.0,4,63.0,9,13,2016,1
fit,601487,2131950,141.0,10.0,everyday,hourglass,sweater,14,31.0,2017-11-15,36.0,2,68.0,11,15,2017,1
fit,155486,168610,120.0,8.0,formal affair,full bust,gown,8,23.0,2014-03-24,34.0,4,64.0,3,24,2014,0
large,398605,2063202,,8.0,date,hourglass,romper,14,36.0,2014-08-18,34.0,4,60.0,8,18,2014,0
fit,585961,1108555,130.0,8.0,wedding,athletic,gown,8,29.0,2015-04-21,36.0,2,66.0,4,21,2015,0
small,893577,1625102,145.0,8.0,wedding,full bust,dress,24,59.0,2014-08-24,36.0,3,66.0,8,24,2014,0
large,495352,224069,,8.0,wedding,,dress,16,28.0,2017-10-31,,,63.0,10,31,2017,0
fit,976802,2712258,175.0,10.0,work,hourglass,pants,24,51.0,2017-06-18,38.0,3,64.0,6,18,2017,1
fit,260418,1919019,135.0,10.0,wedding,hourglass,gown,8,32.0,2017-07-20,30.0,4,64.0,7,20,2017,1
fit,981193,2378271,,10.0,everyday,,romper,8,23.0,2017-06-22,,,64.0,6,22,2017,1
fit,42169,141688,121.0,10.0,formal affair,petite,gown,4,33.0,2014-04-30,34.0,1,61.0,4,30,2014,1
fit,45337,1310167,130.0,10.0,formal affair,pear,gown,8,26.0,2015-11-12,34.0,2,67.0,11,12,2015,1
large,95493,2546173,,8.0,everyday,athletic,romper,1,29.0,2016-07-19,34.0,2,62.0,7,19,2016,0
fit,307791,226072,,10.0,party,hourglass,dress,4,28.0,2015-05-06,34.0,2,66.0,5,6,2015,1
fit,975050,136860,160.0,10.0,date,athletic,sheath,12,30.0,2016-07-14,34.0,3,70.0,7,14,2016,1
large,385792,595048,123.0,10.0,party,athletic,shift,4,45.0,2015-05-18,36.0,3,65.0,5,18,2015,1
fit,973284,123793,125.0,10.0,party,hourglass,gown,4,26.0,2016-11-06,,,65.0,11,6,2016,1
fit,802403,2017483,135.0,10.0,other,petite,jumpsuit,20,38.0,2017-09-17,36.0,3,61.0,9,17,2017,1
fit,870521,1877137,,10.0,wedding,pear,maxi,20,38.0,2017-10-20,34.0,2,66.0,10,20,2017,1
large,545532,2884139,127.0,8.0,work,hourglass,jumpsuit,8,33.0,2015-12-04,32.0,4,64.0,12,4,2015,0
large,754176,2884139,115.0,8.0,party,athletic,jumpsuit,4,32.0,2016-04-05,34.0,1,66.0,4,5,2016,0
fit,869248,227818,115.0,10.0,date,hourglass,sheath,4,31.0,2014-10-18,34.0,2,62.0,10,18,2014,1
fit,491589,2958376,210.0,8.0,party,full bust,romper,24,24.0,2016-05-14,38.0,5,69.0,5,14,2016,0
fit,857714,132738,200.0,10.0,formal affair,full bust,gown,36,31.0,2013-02-23,,,65.0,2,23,2013,1
fit,400157,414009,117.0,8.0,wedding,athletic,sheath,4,32.0,2016-11-20,32.0,1,65.0,11,20,2016,0
fit,116142,1188641,128.0,10.0,work,pear,dress,12,33.0,2017-04-19,34.0,1,63.0,4,19,2017,1
fit,569032,272388,110.0,10.0,party,petite,dress,1,34.0,2017-08-08,36.0,2,63.0,8,8,2017,1
fit,24617,180843,118.0,10.0,date,hourglass,dress,8,43.0,2012-02-19,34.0,4,66.0,2,19,2012,1
fit,359031,945880,145.0,10.0,formal affair,pear,gown,12,26.0,2015-06-03,34.0,2,68.0,6,3,2015,1
fit,469130,912273,,10.0,wedding,,dress,12,24.0,2017-03-09,34.0,4,64.0,3,9,2017,1
fit,348640,131533,172.0,10.0,date,hourglass,gown,25,29.0,2015-01-12,38.0,3,66.0,1,12,2015,1
fit,826843,330238,145.0,10.0,date,full bust,sheath,12,26.0,2015-09-10,34.0,5,69.0,9,10,2015,1
fit,466798,1595305,107.0,10.0,work,hourglass,dress,1,40.0,2016-11-10,32.0,3,60.0,11,10,2016,1
fit,131088,430708,123.0,8.0,formal affair,athletic,dress,8,27.0,2017-05-11,32.0,1,67.0,5,11,2017,0
fit,295662,136110,123.0,10.0,work,pear,dress,12,41.0,2016-02-05,34.0,2,62.0,2,5,2016,1
fit,640338,140321,,8.0,wedding,petite,gown,7,30.0,2015-11-16,32.0,4,61.0,11,16,2015,0
fit,174505,1415952,,8.0,vacation,hourglass,sheath,20,55.0,2016-08-09,34.0,4,67.0,8,9,2016,0
fit,656407,387552,248.0,10.0,wedding,full bust,gown,57,38.0,2016-09-02,,,69.0,9,2,2016,1
fit,163559,2696263,,8.0,party,hourglass,skirt,8,31.0,2016-03-04,32.0,3,64.0,3,4,2016,0
large,991099,986296,135.0,10.0,wedding,hourglass,dress,4,29.0,2015-10-12,32.0,5,65.0,10,12,2015,1
small,610019,714374,120.0,10.0,wedding,athletic,dress,1,30.0,2017-11-06,36.0,2,67.0,11,6,2017,1
fit,804582,890105,130.0,10.0,wedding,athletic,dress,8,31.0,2016-06-26,34.0,3,64.0,6,26,2016,1
small,667832,1213427,135.0,10.0,formal affair,hourglass,gown,16,31.0,2015-04-27,34.0,2,65.0,4,27,2015,1
fit,976758,295745,125.0,10.0,everyday,hourglass,dress,4,38.0,2017-12-07,32.0,2,67.0,12,7,2017,1
small,859847,1490515,125.0,10.0,wedding,straight & narrow,gown,9,34.0,2017-08-23,32.0,2,67.0,8,23,2017,1
small,572308,131533,150.0,10.0,wedding,pear,gown,20,27.0,2015-04-05,36.0,2,65.0,4,5,2015,1
fit,377980,987052,135.0,10.0,party,hourglass,dress,12,37.0,2016-03-02,34.0,3,63.0,3,2,2016,1
fit,710660,145906,120.0,8.0,formal affair,athletic,gown,1,23.0,2015-07-12,34.0,1,66.0,7,12,2015,0
large,506068,126335,130.0,10.0,wedding,,dress,4,33.0,2016-09-06,32.0,4,63.0,9,6,2016,1
fit,6507,763288,130.0,8.0,party,full bust,dress,12,50.0,2014-05-05,34.0,4,64.0,5,5,2014,0
fit,597442,527885,135.0,10.0,work,athletic,shift,12,33.0,2016-10-12,34.0,5,64.0,10,12,2016,1
fit,424908,945880,115.0,10.0,wedding,petite,gown,4,22.0,2017-09-02,34.0,4,61.0,9,2,2017,1
fit,523924,1248293,150.0,10.0,wedding,athletic,dress,16,49.0,2015-06-09,36.0,4,71.0,6,9,2015,1
large,820347,1530913,112.0,10.0,party,athletic,dress,4,32.0,2016-11-22,34.0,3,64.0,11,22,2016,1
fit,315096,1484383,170.0,10.0,formal affair,hourglass,dress,24,28.0,2015-03-18,36.0,4,63.0,3,18,2015,1
